timestamp,turbidity_NTU,conductivity_uScm,pH,tempC,flow_m3h,dP_bar,SDI,MFI,NO3_feed_mgL,SO4_feed_mgL,TOC_feed_mgL,NO3_permeate_mgL,SO4_permeate_mgL,TOC_permeate_mgL,NPF,NSP,NDP,MHI,systemEvent,economicImpact_EUR,timeSinceLastCIP_h
2025-01-01T00:00:00.000Z,0.324,1960,7.17,17.3,94.0,1.158,3.17,4.13,25.5,250.1,2.56,2.25,1.99,0.169,0.744,0.341,0.965,0.817,ADJUST_SETPOINTS,-25.00,0.0
2025-01-01T00:05:00.000Z,0.380,2560,7.19,17.4,100.2,1.207,2.90,3.70,30.4,250.6,2.77,1.99,1.18,0.161,0.794,0.185,1.006,0.853,ADJUST_SETPOINTS,-25.00,0.1
2025-01-01T00:10:00.000Z,0.341,2457,7.19,16.6,100.4,1.207,2.90,3.96,28.6,256.7,2.55,2.51,4.03,0.268,0.777,0.451,1.005,0.842,ADJUST_SETPOINTS,-25.00,0.2
2025-01-01T00:15:00.000Z,0.375,2374,7.16,17.7,100.0,1.165,2.55,3.81,29.1,262.5,3.44,2.65,4.97,0.194,0.800,0.553,0.971,0.860,ADJUST_SETPOINTS,-25.00,0.3
2025-01-01T00:20:00.000Z,0.368,2160,7.16,16.9,100.9,1.209,2.49,4.27,29.0,250.8,2.73,2.89,1.83,0.027,0.787,0.330,1.008,0.848,ADJUST_SETPOINTS,-25.00,0.3
2025-01-01T00:25:00.000Z,0.396,2264,7.09,18.1,97.8,1.217,2.60,3.93,29.7,262.4,2.73,1.97,6.05,0.200,0.792,0.639,1.014,0.849,ADJUST_SETPOINTS,-25.00,0.4
2025-01-01T00:30:00.000Z,0.345,2020,7.15,17.3,95.3,1.209,2.81,4.09,26.6,269.9,3.24,2.26,5.20,0.353,0.752,0.649,1.008,0.824,ADJUST_SETPOINTS,-25.00,0.5
2025-01-01T00:35:00.000Z,0.351,2020,7.13,18.0,100.1,1.163,2.73,4.09,28.8,249.1,3.28,1.27,5.63,0.199,0.808,0.633,0.969,0.866,ADJUST_SETPOINTS,-25.00,0.6
2025-01-01T00:40:00.000Z,0.387,2073,7.20,18.0,102.1,1.180,2.66,4.31,32.2,255.5,3.19,2.66,4.64,0.109,0.824,0.602,0.983,0.877,ADJUST_SETPOINTS,-25.00,0.7
2025-01-01T00:45:00.000Z,0.364,2387,7.13,17.2,103.4,1.202,2.49,4.02,28.7,252.1,3.55,2.05,3.03,0.188,0.814,0.357,1.002,0.869,ADJUST_SETPOINTS,-25.00,0.8
